,Scientific,Dutch,RL_NT,RL_VU,RL_EN,RL_CR,RL_EX,HabDir_II,HabDir_IV,BirdDir_I,BernConv_1,BernConv_2,BonnConv_1,BonnConv_2,FF_Table1,FF_Table2,FF_Table3,FF_Birds,taxonomicGroup
Larus michahellis,Larus michahellis,Geelpootmeeuw ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Limosa limosa,Limosa limosa,Grutto,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,Birds
Locustella luscinioides,Locustella luscinioides,Snor,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Birds
Locustella naevia,Locustella naevia,Sprinkhaanrietzanger,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,Birds
Lophophanes cristatus,Lophophanes cristatus,Kuifmees,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Loxia curvirostra,Loxia curvirostra,Kruisbek,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Lullula arborea,Lullula arborea,Boomleeuwerik,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,Birds
Luscinia luscinia,Luscinia luscinia,Noordse nachtegaal,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,Birds
Luscinia megarhynchos,Luscinia megarhynchos,Nachtegaal,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,Birds
Luscinia svecica,Luscinia svecica,Blauwborst,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,Birds
Lymnocryptes minimus,Lymnocryptes minimus,Bokje ,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Birds
Mergellus albellus,Mergellus albellus,Nonnetje,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Birds
Mergus merganser,Mergus merganser,Grote zaagbek,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,Birds
Merops apiaster,Merops apiaster,Bijeneter ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Milvus migrans,Milvus migrans,Zwarte wouw,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Birds
Milvus milvus,Milvus milvus,Rode wouw,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Birds
Motacilla alba,Motacilla alba,Witte kwikstaart,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Motacilla cinerea,Motacilla cinerea,Grote gele kwikstaart,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
