,Scientific,Dutch,RL_NT,RL_VU,RL_EN,RL_CR,RL_EX,HabDir_II,HabDir_IV,BirdDir_I,BernConv_1,BernConv_2,BonnConv_1,BonnConv_2,FF_Table1,FF_Table2,FF_Table3,FF_Birds,taxonomicGroup
Plantago arenaria,Plantago arenaria,Zandweegbree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Plantago lanceolata,Plantago lanceolata,Smalle weegbree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Plantago major subsp. major,Plantago major subsp. major,Grote weegbree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Plantago maritima,Plantago maritima,Zeeweegbree,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Plantago media,Plantago media,Ruige weegbree,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Platanthera montana,Platanthera montana,Bergnachtorchis,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Poa pratensis,Poa pratensis,Veldbeemdgras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Polygala comosa,Polygala comosa,Kuifvleugeltjesbloem,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Polygala serpyllifolia,Polygala serpyllifolia,Liggende vleugeltjesbloem ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Polygala vulgaris,Polygala vulgaris,Gewone vleugeltjesbloem ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Polypodium interjectum,Polypodium interjectum,Brede eikvaren ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Polystichum aculeatum,Polystichum aculeatum,Stijve naaldvaren ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Polystichum setiferum,Polystichum setiferum,Zachte naaldvaren ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Populus nigra,Populus nigra,Zwarte populier ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Portulaca oleracea,Portulaca oleracea,Postelein ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Potamogeton acutifolius,Potamogeton acutifolius,Sptis fonteinkruid ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Potamogeton compressus,Potamogeton compressus,Plat fonteinkruid ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Potamogeton crispus,Potamogeton crispus,Gekroesd fonteinkruid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Potamogeton gramineus,Potamogeton gramineus,Ongelijkbladig fonteinkruid ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Potamogeton lucens,Potamogeton lucens,Glanzig fonteinkruid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Potamogeton natans,Potamogeton natans,Drijvend fonteinkruid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Potamogeton nodosus,Potamogeton nodosus,Rivierfonteinkruid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Potamogeton obtusifolius,Potamogeton obtusifolius,Stomp fonteinkruid,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Potamogeton pectinatus,Potamogeton pectinatus,Schedefonteinkruid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Potamogeton perfoliatus,Potamogeton perfoliatus,Doorgroeid fonteinkruid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Potamogeton pusillus,Potamogeton pusillus,Tenger fonteinkruid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Potamogeton x zizii,Potamogeton x zizii,Gegolfd fonteinkruid ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Potentilla anserina,Potentilla anserina,Zilverschoon ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Potentilla argentea,Potentilla argentea,Viltganzerik ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Potentilla palustris,Potentilla palustris,Wateraardbei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Potentilla recta,Potentilla recta,Rechte ganzerik ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Potentilla sterilis,Potentilla sterilis,Aardbeiganzerik ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Potentilla supina,Potentilla supina,Liggende ganzerik ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Potentilla verna,Potentilla verna,Voorjaarsganzerik ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Primula elatior,Primula elatior,Slanke sleutelbloem ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,HigherPlants
Primula veris,Primula veris,Gulden sleutelbloem,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Primula vulgaris,Primula vulgaris,Stengelloze sleutelbloem ,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Prunus spinosa,Prunus spinosa,Sleedoorn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Pseudofumaria lutea,Pseudofumaria lutea,Gele helmbloem,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Pulicaria vulgaris,Pulicaria vulgaris,Klein Vlooienkruid ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Pulmonaria montana,Pulmonaria montana,Smal longkruid ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Pulsatilla vulgaris,Pulsatilla vulgaris,Wildemanskruid,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Pyrola rotundifolia,Pyrola rotundifolia,Rond wintergroen,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Quercus robur,Quercus robur,Zomereik ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Ranunculus acris,Ranunculus acris,Scherpe boterbloem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Ranunculus arvensis,Ranunculus arvensis,Akkerboterbloem ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Ranunculus baudotii,Ranunculus baudotii,Zilte waterranonkel,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Ranunculus circinatus,Ranunculus circinatus,Stijve waterranonkel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Ranunculus fluitans,Ranunculus fluitans,Vlottende waterranonkel,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Ranunculus hederaceus,Ranunculus hederaceus,Klimopwaterranonkel ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Ranunculus lingua,Ranunculus lingua,Grote boterbloem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Ranunculus ololeucos,Ranunculus ololeucos,Witte waterranonkel ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Ranunculus repens,Ranunculus repens,Kruipende boterbloem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Reseda lutea,Reseda lutea,Wilde reseda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Rhamnus cathartica,Rhamnus cathartica,Wegedoorn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Rhamnus frangula,Rhamnus frangula,Sporkehout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Rhinanthus alectorolophus,Rhinanthus alectorolophus,Harige ratelaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Rhinanthus angustifolius,Rhinanthus angustifolius,Grote ratelaar ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Rhinanthus minor,Rhinanthus minor,Kleine ratelaar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Rhynchospora alba,Rhynchospora alba,Witte snavelbies,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Rhynchospora fusca,Rhynchospora fusca,Bruine snavelbies ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Rorippa amphibia,Rorippa amphibia,Gele waterkers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Rosa villosa,Rosa villosa,Viltroos,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Rubus caesius,Rubus caesius,Dauwbraam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Rumex acetosa,Rumex acetosa,Veldzuring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Rumex acetosella,Rumex acetosella,Schapenzuring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Rumex aquaticus,Rumex aquaticus,Paardenzuring,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Rumex conglomeratus,Rumex conglomeratus,Kluwenzuring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Rumex crispus,Rumex crispus,Krulzuring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Rumex obtusifolius,Rumex obtusifolius,Ridderzuring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Rumex scutatus,Rumex scutatus,Spaanse zuring,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Rumex thyrsiflorus,Rumex thyrsiflorus,Geoorde zuring ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Sagina nodosa,Sagina nodosa,Sierlijke vetmuur,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Sagittaria sagittifolia,Sagittaria sagittifolia,Pijlkruid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Salix alba,Salix alba,Schietwilg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Salix caprea,Salix caprea,Boswilg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Salix cinerea,Salix cinerea,Grauwe wilg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Salix fragilis,Salix fragilis,Kraakwilg ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Salix purpurea,Salix purpurea,Bittere wilg ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Salix triandra,Salix triandra,Amandelwilg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Salix viminalis,Salix viminalis,Katwilg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Salvia pratensis,Salvia pratensis,Veldsalie,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Salvia verbenaca,Salvia verbenaca,Kleinbloemige salie ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Salvia verticillata,Salvia verticillata,Kranssalie ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Sambucus ebulus,Sambucus ebulus,Kruidvlier,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Sanguisorba minor,Sanguisorba minor,Kleine pimpernel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Sanguisorba officinalis,Sanguisorba officinalis,Grote pimpernel ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Sanicula europaea,Sanicula europaea,Heelkruid ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Saxifraga granulata,Saxifraga granulata,Knolsteenbreek,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Saxifraga tridactylites,Saxifraga tridactylites,Kandelaartje ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Scabiosa columbaria,Scabiosa columbaria,Duifkruid,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Scandix pecten-veneris,Scandix pecten-veneris,Naaldenkervel ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Schoenoplectus lacustris ,Schoenoplectus lacustris ,Mattenbies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Schoenoplectus pungens,Schoenoplectus pungens,Stekende bies,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Schoenoplectus tabernaemontani,Schoenoplectus tabernaemontani,Ruwe bies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Schoenoplectus triqueter,Schoenoplectus triqueter,Driekantige bies,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Scilla bifolia,Scilla bifolia,Sterhyacint ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Scleranthus perennis,Scleranthus perennis,Overblijvende hardbloem,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Scrophularia canina,Scrophularia canina,Hondshelmkruid ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Scrophularia nodosa,Scrophularia nodosa,Knopig helmkruid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Scrophularia umbrosa,Scrophularia umbrosa,Gevleugeld helmkruid ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Scutellaria minor,Scutellaria minor,Klein glidkruid ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Securigera varia,Securigera varia,Bont kroonkruid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Sedum album,Sedum album,Wit vetkruid ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Sedum reflexum,Sedum reflexum,Tripmadam,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Sedum sexangulare,Sedum sexangulare,Zacht vetkruid ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Senecio aquaticus,Senecio aquaticus,Waterkruiskruid ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Senecio fluviatilis,Senecio fluviatilis,Rivierkruiskruid ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Sherardia arvensis,Sherardia arvensis,Blauw walstro,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Silaum silaus,Silaum silaus,Weidekervel,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Silene flos-cuculi,Silene flos-cuculi,Echte koekoeksbloem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Silene gallica,Silene gallica,Franse silene ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Silene noctiflora,Silene noctiflora,Nachtkoekoeksbloem,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Silene nutans,Silene nutans,Nachtsilene ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Silene vulgaris,Silene vulgaris,Blaassilene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Sisymbrium altissimum,Sisymbrium altissimum,Hongaarse raket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Sisymbrium austriacum subsp. chrysanthum,Sisymbrium austriacum subsp. chrysanthum,Maasraket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Sisymbrium officinale,Sisymbrium officinale,Gewone raket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Sisymbrium supinum,Sisymbrium supinum,Liggende raket,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,HigherPlants
Solanum dulcamara,Solanum dulcamara,Bitterzoet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Solanum triflorum,Solanum triflorum,Driebloemige nachtschade ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Solidago virgaurea,Solidago virgaurea,Echte guldenroede,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Sorbus aucuparia,Sorbus aucuparia,Wilde lijsterbes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Sparganium erectum,Sparganium erectum,Grote egelskop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Sparganium natans,Sparganium natans,Kleinste egelskop ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Stachys arvensis,Stachys arvensis,Akkerandoorn ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Stachys officinalis,Stachys officinalis,Betonie,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Stachys palustris,Stachys palustris,Moerasandoorn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Stellaria media,Stellaria media,Vogelmuur ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Stellaria neglecta,Stellaria neglecta,Heggenvogelmuur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Stellaria nemorum,Stellaria nemorum,Bosmuur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Stratiotes aloides,Stratiotes aloides,Krabbenscheer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Succisa pratensis,Succisa pratensis,Blauwe knoop,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Symphytum officinale,Symphytum officinale,Gewone smeerwortel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Tanacetum vulgare,Tanacetum vulgare,Boerenwormkruid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Taraxacum celticum,Taraxacum celticum,Schraallandpaardenbloem,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Taraxacum officinale,Taraxacum officinale,Gewone paardenbloem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Taraxacum palustre,Taraxacum palustre,Moeraspaardenbloem,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Teucrium montanum,Teucrium montanum,Berggamander ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Teucrium scordium,Teucrium scordium,Moerasgamander,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Thalictrum flavum,Thalictrum flavum,Poelruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Thalictrum minus,Thalictrum minus,Kleine ruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Thlaspi perfoliatum,Thlaspi perfoliatum,Doorgroeide boerenkers,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Thymus pulegioides,Thymus pulegioides,Grote tijm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Thymus serpyllum,Thymus serpyllum,Kleine tijm,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Torilis arvensis,Torilis arvensis,Akkerdoornzaad,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Torilis nodosa,Torilis nodosa,Knopig doornzaad,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Tragopogon dubius,Tragopogon dubius,Bleke morgenster ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Tragopogon porrifolius,Tragopogon porrifolius,Paarse morgenster ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Tragopogon pratensis subsp. orientalis,Tragopogon pratensis subsp. orientalis,Oosterse morgenster ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Tragopogon pratensis subsp. pratensis,Tragopogon pratensis subsp. pratensis,Gele morgenster ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Trichophorum cespitosum ,Trichophorum cespitosum ,Gewone veenbies ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Trifolium dubium,Trifolium dubium,Kleine klaver ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Trifolium fragiferum,Trifolium fragiferum,Aardbeiklaver ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Trifolium medium,Trifolium medium,Bochtige klaver,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Trifolium micranthum,Trifolium micranthum,Draadklaver,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Trifolium repens,Trifolium repens,Witte klaver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Trifolium striatum,Trifolium striatum,Gestreepte klaver ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Trisetum flavescens,Trisetum flavescens,Goudhaver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Typha angustifolia,Typha angustifolia,Kleine lisdodde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Typha latifolia,Typha latifolia,Grote lisdodde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Ulex europaeus,Ulex europaeus,Gaspeldoorn ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Ulmus laevis,Ulmus laevis,Fladderiep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Urtica dioica,Urtica dioica,Grote brandnetel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Urtica urens,Urtica urens,Kleine brandnetel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Utricularia minor,Utricularia minor,Klein blaasjeskruid ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Utricularia vulgaris,Utricularia vulgaris,Groot blaasjeskruid ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Vaccinium oxycoccus ,Vaccinium oxycoccus ,Kleine veenbes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Valeriana dioica,Valeriana dioica,Kleine valeriaan ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Valerianella carinata,Valerianella carinata,Gegroefde veldsla,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Valerianella dentata,Valerianella dentata,Getande veldsla,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Valerianella rimosa,Valerianella rimosa,Geoorde veldsla ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Verbascum blattaria,Verbascum blattaria,Mottenkruid ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Verbascum lychnitis,Verbascum lychnitis,Melige toorts ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Verbena officinalis,Verbena officinalis,Ijzerhard ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Veronica austriaca subsp. teucrium,Veronica austriaca subsp. teucrium,Brede ereprijs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Veronica longifolia,Veronica longifolia,Lange ereprijs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Veronica montana,Veronica montana,Bosereprijs ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Veronica opaca,Veronica opaca,Doffe ereprijs,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Veronica praecox,Veronica praecox,Vroege ereprijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Veronica prostrata,Veronica prostrata,Liggende ereprijs,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Veronica scutellata,Veronica scutellata,Schildereprijs ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Veronica triphyllos,Veronica triphyllos,Handjesereprijs ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Veronica verna,Veronica verna,Kleine ereprijs ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Vicia lathyroides,Vicia lathyroides,Lathyruswikke ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Vicia tenuifolia,Vicia tenuifolia,Stijve wikke ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Vinca minor,Vinca minor,Kleine maagdenpalm ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,HigherPlants
Vincetoxicum hirundinaria,Vincetoxicum hirundinaria,Witte engbloem,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Viola arvensis,Viola arvensis,Akkerviooltje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Viola canina,Viola canina,Hondsviooltje ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Viola hirta,Viola hirta,Ruig viooltje ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Viola odorata,Viola odorata,Maarts viooltje ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Viola persicifolia,Viola persicifolia,Melkviooltje ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Viola reichenbachiana,Viola reichenbachiana,Donkersporig bosviooltje ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Viola tricolor,Viola tricolor,Driekleurig viooltje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Viscum album,Viscum album,Maretak ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Wahlenbergia hederacea,Wahlenbergia hederacea,Klimopklokje ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
