km,dikeraising_evr_smooth,dikeraising_lrg_smooth,groynelowering_evr_smooth,groynelowering_lrg_smooth,lowering_evr_natural,lowering_evr_smooth,lowering_lrg_natural,lowering_lrg_smooth,minemblowering_evr_smooth,minemblowering_lrg_smooth,reference_FM_dQdh,sidechannel_evr_natural,sidechannel_evr_smooth,sidechannel_lrg_natural,sidechannel_lrg_smooth,smoothing_evr_natural,smoothing_evr_smooth,smoothing_lrg_natural,smoothing_lrg_smooth
922.0,0.0,0.0,-0.00840254512606,-0.00783509414251,-0.777641795444,-0.839620094098,-0.430230834829,-0.46516646624,-0.0167476759641,-0.0087545679718,0.0,-0.114416565951,-0.16119790003,-0.0564650722373,-0.0782870990724,-0.0613206511752,-0.131364825675,-0.0235806773737,-0.0798633760523
923.0,0.0,0.0,-0.00940503127624,-0.00879559849474,-0.788405648621,-0.848633448161,-0.438489707937,-0.471170763196,-0.0188743641787,-0.00969994381022,0.0,-0.114057696651,-0.15923800676,-0.0469077341617,-0.0651511089637,-0.0701942678909,-0.138536956981,-0.0295491679043,-0.082025005968
924.0,0.0,0.0,-0.010227634429,-0.00957760814744,-0.782074509955,-0.840333131394,-0.421929029087,-0.451516642806,-0.0197266463358,-0.00967734401694,0.0,-0.125312390468,-0.175308890952,-0.0513465922299,-0.071527771929,-0.0707209614851,-0.136770663158,-0.026999905529,-0.0759278301479
925.0,0.0,0.0,-0.0108455483686,-0.0101611274018,-0.756408602525,-0.812820877925,-0.366868482512,-0.393404232206,-0.0200173205611,-0.00925058338053,0.0,-0.133136070672,-0.186369668258,-0.0545543895029,-0.0760015786254,-0.0742249836044,-0.13917280051,-0.0281443805701,-0.0748772936374
926.0,0.0,0.0,-0.0109721010475,-0.0102601972569,-0.728878205179,-0.784510444816,-0.332375351795,-0.357641342519,-0.0210345062815,-0.00979782400891,0.0,-0.138629986543,-0.194195328807,-0.0566817470728,-0.0789885822585,-0.078292578924,-0.143387064068,-0.0304202580627,-0.0766057364017
927.0,0.0,0.0,-0.011393623691,-0.0106649799262,-0.728344512768,-0.784092226987,-0.329872306864,-0.355350751294,-0.0215985638739,-0.0101030490919,0.0,-0.141831100863,-0.198718029067,-0.0579200656677,-0.0807325732116,-0.0800150099148,-0.145234821216,-0.0313342786678,-0.0775007962304
928.0,0.0,0.0,-0.0116398707922,-0.0108821733014,-0.718930211095,-0.774608735052,-0.316636799687,-0.341579953624,-0.0205760700449,-0.0086385037058,0.0,-0.147556677958,-0.206870508298,-0.0601512612785,-0.0838740073604,-0.0910050442473,-0.155241976456,-0.0399692363612,-0.0844364651567
929.0,0.0,0.0,-0.0120085849006,-0.0112107941608,-0.684616454227,-0.739215233252,-0.27546426658,-0.298648270701,-0.0191317266224,-0.00673517405109,0.0,-0.155595490592,-0.218307201584,-0.0633203210381,-0.088327254644,-0.0738083158702,-0.136241172956,-0.0231085165146,-0.0651290077704
930.0,0.0,0.0,-0.0117757592996,-0.010956332815,-0.672214317815,-0.725789153223,-0.258839788476,-0.280429172405,-0.0189504115236,-0.00625218069242,0.0,-0.157607815004,-0.221526969695,-0.0643362011062,-0.0899474669914,-0.0703613157814,-0.131020192969,-0.0189580718476,-0.0591501971741
931.0,0.0,0.0,-0.0119673871451,-0.0111229685459,-0.661088645678,-0.712548028865,-0.242990131802,-0.262728725687,-0.0178066088046,-0.00491416470657,0.0,-0.159161452033,-0.223410075667,-0.0653365570218,-0.0914248291925,-0.0760986580321,-0.134817279225,-0.022905597497,-0.0612692915082
